# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
   11185615308     7454054390  9541465854          24954181         24231809             2862037256 
   23810262014    14671466617 19303372486          57810958         55883712             5948010092 
   23452110206    14443647953 19058946468          56900760         55019882             5893892091 
   24007637025    14793707266 19538098580          58338298         56383843             6023648711 
   23366188608    14384967699 19007088161          56707734         54796145             5896657623 
   23443886462    14447805510 19066080927          57081426         55150293             5885153153 
   23681007296    14575535248 19255710370          57589321         55626713             5965709550 
   18523284067    11733267323 15130486978          41951248         40539026             4458608068 
       4139251        2877850     3457255              2781             2665                 370827 
