# p/CPU_CYCLES p/INST_RETIRED p/INST_SPEC p/EXECUTIVE_ENTRY p/EXECUTIVE_EXIT p/INST_SPEC_RESTRICTED 
    6276465158     5381449377  5987721964           8663021          8419083             1590309422 
   23833298694    17143914517 20739217159          50717676         49515204             6896957393 
   24076394708    17489492443 21030280974          51938050         50636765             6845714297 
   24549889927    17780416290 21464619182          52752349         51399457             6982494988 
   23651233826    17140464460 20655189530          50972197         49653905             6739938246 
   24494681835    17814884202 21401612461          52847056         51520777             6967006825 
   24095416540    17534523470 21047644176          51917810         50624286             6813239816 
   24054835257    17492802366 21036885459          51905682         50596081             6829737214 
    6049492042     4351725030  5065601888           9641448          9355976             1354859015 
       3318524        2242170     2702256              2278             2174                 287735 
